osm2xodr conversion report
=========================

Input: build/windows-arm64/Debug/Karlsruhe.osm
Output: build/windows-arm64/Release/karlsruhe_gap.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2055 (1388 junction connector roads)
Junctions written: 179
Compound junctions: 92 (merging 338 OSM junction nodes)
Signals/signs written: 676
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w134641655_3 source_way=134641655 length=4.29 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w836181685_1 source_way=836181685 length=94.00 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=2
w134641670_0 source_way=134641670 length=73.74 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134650837_0 source_way=134650837 length=89.83 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w134650840_0 source_way=134650840 length=29.17 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134650840_1 source_way=134650840 length=91.43 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134650844_0 source_way=134650844 length=95.32 forward=2 backward=1 left_lanes=2 right_lanes=2 signals=1
w684754952_1 source_way=684754952 length=38.62 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134650853_1 source_way=134650853 length=35.59 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134650859_0 source_way=134650859 length=20.49 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134650859_1 source_way=134650859 length=5.07 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134650887_0 source_way=134650887 length=37.27 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w134650887_4 source_way=134650887 length=22.14 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w134655452_1 source_way=134655452 length=79.64 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=2
w134655462_0 source_way=134655462 length=68.14 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134655462_4 source_way=134655462 length=34.53 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134655471_0 source_way=134655471 length=8.47 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=3
w134655471_1 source_way=134655471 length=6.35 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w134765851_1 source_way=134765851 length=40.13 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134765851_2 source_way=134765851 length=26.41 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134765851_4 source_way=134765851 length=23.66 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134765852_0 source_way=134765852 length=83.98 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=2
w134765852_1 source_way=134765852 length=10.99 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w705988291_0 source_way=705988291 length=140.71 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134765858_1 source_way=134765858 length=21.51 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134765858_2 source_way=134765858 length=3.92 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134765858_3 source_way=134765858 length=98.78 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w134765887_0 source_way=134765887 length=46.48 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w134765887_1 source_way=134765887 length=84.73 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w835852679_1 source_way=835852679 length=71.25 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134765913_1 source_way=134765913 length=145.18 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w134768960_8 source_way=134768960 length=32.51 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134768963_0 source_way=134768963 length=132.46 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w134768964_0 source_way=134768964 length=250.75 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134768965_0 source_way=134768965 length=15.97 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w134768965_1 source_way=134768965 length=31.98 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w134768965_2 source_way=134768965 length=145.16 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
