osm2xodr conversion report
=========================

Input: build/windows-arm64/Debug/Karlsruhe.osm
Output: build/windows-arm64/Release/karlsruhe_plain.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2966 (1721 junction connector roads)
Junctions written: 424
Signals/signs written: 1096
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w120792416_0 source_way=120792416 length=62.00 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w120792416_1 source_way=120792416 length=10.03 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w121667680_0 source_way=121667680 length=2.21 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w121667681_0 source_way=121667681 length=5.74 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w121667682_0 source_way=121667682 length=7.44 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=1
w121667724_0 source_way=121667724 length=18.51 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w122047327_0 source_way=122047327 length=37.61 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w122518749_0 source_way=122518749 length=82.28 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w124903836_0 source_way=124903836 length=48.72 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w129405359_0 source_way=129405359 length=11.74 forward=2 backward=0 left_lanes=0 right_lanes=3 signals=1
w132013810_0 source_way=132013810 length=43.31 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w132013810_1 source_way=132013810 length=1.45 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w132013810_2 source_way=132013810 length=21.75 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w132013810_3 source_way=132013810 length=8.06 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w132013810_4 source_way=132013810 length=11.35 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w132013810_5 source_way=132013810 length=3.40 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w132013811_0 source_way=132013811 length=20.19 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=0
w132013811_1 source_way=132013811 length=6.17 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=0
w132741592_0 source_way=132741592 length=11.28 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w132741594_0 source_way=132741594 length=8.81 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w133885429_0 source_way=133885429 length=17.78 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w133885429_1 source_way=133885429 length=5.41 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w133885429_2 source_way=133885429 length=26.27 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134200909_0 source_way=134200909 length=6.37 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134200911_0 source_way=134200911 length=16.66 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134200912_0 source_way=134200912 length=11.26 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134200928_0 source_way=134200928 length=25.19 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134200928_1 source_way=134200928 length=12.74 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134200935_0 source_way=134200935 length=5.15 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134200935_1 source_way=134200935 length=136.82 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134200935_2 source_way=134200935 length=66.53 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134200936_0 source_way=134200936 length=267.96 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134200937_0 source_way=134200937 length=8.69 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134200955_0 source_way=134200955 length=7.39 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w134200977_0 source_way=134200977 length=35.71 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134200977_1 source_way=134200977 length=2.88 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134200988_0 source_way=134200988 length=2.49 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134200988_1 source_way=134200988 length=3.49 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134200988_2 source_way=134200988 length=31.09 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134201006_0 source_way=134201006 length=23.29 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w134201032_0 source_way=134201032 length=61.21 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w134499537_0 source_way=134499537 length=9.52 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w134499537_1 source_way=134499537 length=5.07 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
